station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,29,18,,11,0.9,
DENI042,1,27,17,65,10,0.9,
DENI042,2,23,15,57,9,0.8,
DENI042,3,17,11,59,6,0.8,
DENI042,4,12,8,57,6,,
DENI042,5,9,6,68,4,,
DENI042,6,7,4,70,3,,
DENI042,7,5,3,71,3,,
DENI042,8,4,2,72,3,,
DENI042,9,3,1,75,2,,
DENI042,10,3,0.6,77,2,,
DENI042,11,2,0.5,77,2,,
DENI042,12,2,,78,2,,
DENI042,13,2,,78,2,,
DENI042,14,3,,80,2,,
DENI042,15,3,,84,2,,
DENI042,16,5,,86,2,,
DENI042,17,6,,88,2,,
DENI042,18,7,,90,2,,
DENI042,19,9,,89,3,,
DENI042,20,13,,84,4,,
DENI042,21,17,2,76,7,,
DENI042,22,16,3,71,8,,
DENI042,23,15,3,67,5,,
DENI068,0,24,13,,28,,0.21
DENI068,1,22,11,,21,,0.21
DENI068,2,22,12,,26,,0.21
DENI068,3,19,10,,,,0.2
DENI068,4,10,6,,16,,0.19
DENI068,5,8,5,,12,,0.18
DENI068,6,6,3,,14,,0.16
DENI068,7,5,2,,15,,0.15
DENI068,8,5,1,,18,,0.13
DENI068,9,5,2,,19,,0.12
DENI068,10,6,2,,19,,0.1
DENI068,11,6,1,,14,,0.08
DENI068,12,5,2,,17,,0.07
DENI068,13,5,1,,19,,0.05
DENI068,14,5,2,,15,,0.04
DENI068,15,6,1,,15,,0.03
DENI068,16,6,2,,15,,0.02
DENI068,17,7,2,,20,,0.01
DENI068,18,7,2,,13,,0.01
DENI068,19,8,2,,15,,0
DENI068,20,10,3,,13,,
DENI068,21,11,3,,14,,0
DENI068,22,8,3,,9,,
DENI068,23,9,3,,10,,0
