station,temp_mean,temp_max,temp_min,precipitation,wind_max,wind_mean,sunshine,cloud,pressure,humidity,snow
00006,,,,0,,,,,,,0
00011,,,,,11.8,2.6,,,,,
00019,,,,0,,,,,,,0
00020,,,,0,,,,,,,
00021,,,,0,,,,,,,0
00022,,,,0,,,,,,,0
00023,,,,0,,,,,,,0
00029,,,,0,,,,,,,
00041,,,,0,,,,,,,0
00044,18.6,24.9,15,0,,,,,,80.29,
00046,,,,0,,,,,,,
00053,,,,0,,,,,,,
00055,,,,0,,,,,,,0
00057,,,,0,,,,,,,0
00063,,,,0,,,,,,,0
00073,20,26.1,13.2,0,,,,,,61.25,
00078,18.6,25.3,13.3,0,,,,,,76.38,
00079,,,,0,,,,,,,0
00087,,,,0,,,,,,,
00090,,,,,7.9,2,,,,,
00091,18,23.1,11.6,0,,,,,,75.75,
00096,17.5,23.6,11.8,0,8.2,2.3,,3.4,1009.78,71.08,0
00102,16.7,17.4,15.9,,14.2,9.2,,,1014.5,86.13,
00103,,,,0,,,,,,,
00105,,,,0,,,,,,,0
00110,,,,0,,,,,,,0
00118,,,,0,,,,,,,
00121,,,,0,,,,,,,0
00124,,,,0,,,,,,,
00125,19.3,,,0,,,,1.3,930.88,67.21,0
00128,,,,0,,,,,,,0
00129,,,,0,,,,,,,0
00130,,,,0,,,,,,,
00131,16.2,22.4,10.5,0,,,,,,68.29,
00141,,,,0,,,,,,,
00142,19.6,25.8,13.8,0,,,,,,64.5,
00145,,,,0,,,,,,,0
00146,,,,0,,,,,,,
00150,22.1,29.1,13.7,0,,,,,,58.63,
00151,18.8,25.7,11.3,0,,,,,,64.04,
00154,18.7,25.4,12.3,0,,,,,,73.75,
00158,,,,0,,,,,,,
00160,,,,0,,,,,,,0
00161,22,27.8,15.5,0,8,2.4,,2.4,1009.09,61.67,0
00163,,,,0,,,,,,,0
00164,18.4,24.9,12.9,0,10.6,4.8,,3.8,1008.44,66.63,0
00167,18,24,12.9,0,,,,,,72.92,
00170,,,,0,,,,,,,0
00173,,,,0,,,,,,,0
00178,,,,0,,,,,,,0
00183,16.5,20.2,13.5,0,13.4,6.8,14.25,2.9,1009.68,81.58,0
00191,18.9,26.5,11.6,0,,,,,,68.88,
00194,,,,0,,,,,,,
00197,,,,,7.4,2.7,,,,,
00198,17.7,23.2,12,0,8.6,2.1,,,,72.17,
00200,,,,0,,,,,,,
00201,,,,0,,,,,,,0
00203,,,,0,,,,,,,0
00205,,,,0,,,,,,,
00211,,,,0,,,,,,,
00213,,,,0,,,,,,,
00216,,,,0,,,,,,,
00217,19.6,25.1,13.6,0,,,,,,67.63,
00222,16.7,22.5,11.1,0,,,,,,67.46,
00223,,,,0,,,,,,,0
00227,,,,0,,,,,,,
00232,18.9,25.2,12.2,0,8.4,2.2,12.367,1.6,962.42,69.67,0
00240,,,,0,,,,,,,
00245,,,,0,,,,,,,0
00257,22,29,13.1,0,,,,,,59.46,
00259,23,31.6,13.7,0,,,,,,60.25,
00262,,,,0,,,,,,,0
00269,,,,0,,,,,,,
00275,,,,0,,,,,,,
00277,,,,0,,,,,,,0
00279,,,,0,,,,,,,
00282,18.5,25.5,9.7,0,7.6,2,,2.7,989.16,68.46,0
00287,,,,0,,,,,,,
00289,,,,0,,,,,,,0
00290,,,,0.7,,,,,,,0
00292,,,,0,,,,,,,
00294,18.1,24.9,13.7,0,,,,,,75.04,
00296,,,,0,,,,,,,
00298,16.5,20.2,12.7,0,11.4,4.3,,3.4,1014.89,80.04,0
00301,,,,0,,,,,,,
00303,17.3,25.1,10.9,0,8.9,3.2,,3,1009.35,67.67,0
00309,,,,0,,,,,,,0
00310,,,,0,,,,,,,
00312,,,,0,,,,,,,
00314,18.1,24.5,12,0,,,,,,59.33,
00318,,,,0,,,,,,,0
00319,,,,0,,,,,,,0
00320,17.4,24.6,9.6,0,,,,,,71.79,
00323,,,,0,,,,,,,
00325,,,,0,,,,,,,0
00330,20,26.9,13.6,0,,,,,,64.79,
00333,,,,0,,,,,,,0
00336,,,,0,,,,,,,
00342,18.3,24.8,14.4,0,8.2,2.3,5.917,4.9,1006.34,77.08,
00349,,,,0,,,,,,,0
00351,,,,0,,,,,,,0
00357,,,,0,,,,,,,
00359,,,,0,,,,,,,
00360,,,,0,,,,,,,
00364,,,,0,,,,,,,0
00366,,,,0,,,,,,,0
00368,16.8,,,0,,,,4.8,1008.39,77.04,0
00371,,,,0,,,,,,,0
00376,,,,0,,,,,,,0
00377,23.1,28.3,17.4,0,,,,,,54.75,
00379,16.8,22.3,10.8,0,,,,,,73.79,
00389,,,,0,,,,,,,
00390,16.6,21.6,11.5,0,,,,,,77.71,
00400,17.3,24.9,11.6,0,,,,,,69.63,
00403,17.4,23.9,12.2,0,,,10.05,3.5,1006.18,70.73,0
00420,18,25.5,12.4,0,,,,,,68.29,
00426,,,,0,,,,,,,0
00427,17.9,25.1,12.6,0,11,4.6,,3.6,1009.83,67.13,0
00433,18,25.2,12.5,0,14.6,4.8,,3.3,1010.07,67.46,0
00440,,,,0,,,,,,,0
00443,,,,0,,,,,,,
00445,16.8,21.7,12,0,,,,,,71.38,
00446,,,,0,,,,,,,0
00447,,,,0,,,,,,,0
00460,22.7,30,15.7,0,8.3,3.2,14.317,0,974.93,52.83,0
00468,,,,0,,,,,,,
00475,,,,0,,,,,,,0
00476,,,,0,,,,,,,0
00479,,,,0,,,,,,,
00480,,,,0,,,,,,,0
00488,,,,0,,,,,,,0
00490,,,,0,,,,,,,0
00498,,,,0,,,,,,,
00502,,,,0,,,,,,,0
00504,,,,0,,,,,,,
00509,,,,0,,,,,,,0
00515,,,,0,,,,,,,0
00516,,,,0,,,,,,,0
00518,,,,0,,,,,,,0
00522,,,,0,,,,,,,
00527,,,,0,,,,,,,0
00533,,,,0,,,,,,,0
00535,19.7,26.8,11.5,0,,,,,,66.42,
00537,,,,0,,,,,,,0
00542,,,,0,,,,,,,
00550,,,,0,,,,,,,
00551,,,,0,,,,,,,
00552,,,,0,,,,,,,0
00554,,,,0,,,,,,,
00555,18.9,24.5,14.6,0,,,,,,76.46,
00560,,,,0.5,,,,,,,0
00561,,,,0,,,,,,,
00562,,,,0,,,,,,,0
00567,,,,0,,,,,,,
00572,,,,0,,,,,,,0
00579,,,,0,,,,,,,0
00583,,,,0,,,,,,,0
00584,,,,0,,,,,,,0
00589,,,,0,,,,,,,
00591,16.9,21.9,12.9,0,8.1,2.8,,6,1011.53,77.54,0
00595,,,,0,,,,,,,0
00596,18,23.1,13.2,0,,,9.2,,,,0
00603,20,25.5,14,0,6.6,2.1,,2,1001.04,69.96,0
00604,,,,0,,,,,,,
00606,,,,0,,,,,,,0
00608,,,,0,,,,,,,0
00610,,,,0,,,,,,,0
00611,,,,0,,,,,,,0
00613,,,,0,,,,,,,
00617,19.2,25.3,13.2,0,,,,,,75.5,
00619,,,,,8,3.2,,,,,
00622,,,,0,,,,,,,
00624,,,,0,,,,,,,0
00628,,,,0,,,,,,,0
00630,,,,0,,,,,,,
00633,,,,0,,,,,,,
00642,,,,,10.5,4.1,,,,,
00644,,,,0,,,,,,,
00645,,,,0,,,,,,,0
00647,,,,0,,,,,,,0
00653,,,,0,,,,,,,
00654,,,,0,,,,,,,0
00656,13.7,16.8,11,0,13.2,3.7,,3.9,947.44,81.67,0
00662,16.9,22.4,12.2,0,7.4,2.9,3.783,4.3,1008.11,76.13,0
00668,,,,0,,,,,,,0
00672,,,,0,,,,,,,0
00677,,,,0,,,,,,,
00684,,,,0,,,,,,,
00690,,,,0,,,,,,,0
