# Stichtag 2025-01-27
station,kind,value,date,since,days
00001,precipitation,70.5,1975-08-11,1937-01-01,17347
00001,temp_max,38.2,1943-08-19,1937-01-01,17348
00001,temp_mean_high,28.9,1983-07-28,1937-01-01,17348
00001,temp_mean_low,-19.8,1985-01-08,1937-01-01,17348
00001,temp_min,-26,1985-01-09,1937-01-01,17348
00003,precipitation,68,1905-06-07,1891-01-01,38351
00003,temp_max,37.2,1944-08-23,1891-01-01,38440
00003,temp_mean_high,29,2003-08-12,1891-01-01,38440
00003,temp_mean_low,-15.8,1895-02-07,1891-01-01,38440
00003,temp_min,-20.4,1945-01-11,1891-01-01,38440
00003,wind_max,41.7,1990-01-25,1952-01-01,21582
00011,wind_max,28.8,2010-02-28,1980-09-01,11371
00044,precipitation,71.9,2017-06-29,1971-03-01,19672
00044,temp_max,37.6,2012-08-19,1971-03-01,19679
00044,temp_mean_high,28.5,2019-07-25,1971-03-01,19679
00044,temp_mean_low,-16.1,1979-01-04,1971-03-01,19679
00044,temp_min,-22,1979-01-04,1971-03-01,19679
00044,wind_max,40.7,1990-01-25,1969-01-01,9829
00052,precipitation,68.5,1989-08-27,1973-01-01,10592
00052,temp_max,36.5,1992-08-09,1973-01-01,10592
00052,temp_mean_high,28.2,1994-07-28,1973-01-01,10592
00052,temp_mean_low,-17,1978-12-31,1973-01-01,10592
00052,temp_min,-21.1,1982-01-08,1973-01-01,10592
00052,wind_max,35,1993-01-14,1980-05-01,7688
00061,precipitation,50.8,1978-08-07,1975-07-01,1158
00061,temp_max,34.6,1976-07-17,1975-07-01,1158
00061,temp_mean_high,26.9,1976-07-17,1975-07-01,1158
00061,temp_mean_low,-18.2,1975-12-19,1975-07-01,1158
00061,temp_min,-27.5,1975-12-19,1975-07-01,1158
00070,precipitation,71.7,1977-06-20,1973-06-01,4870
00070,temp_max,35,1983-07-27,1973-06-01,4870
00070,temp_mean_high,27.1,1984-07-11,1973-06-01,4870
00070,temp_mean_low,-19.6,1985-01-08,1973-06-01,4870
00070,temp_min,-24.8,1985-01-09,1973-06-01,4870
00071,precipitation,72,2013-05-31,1986-11-01,9920
00071,temp_max,34.1,2003-08-13,1986-11-01,9922
00071,temp_mean_high,27.2,2015-07-05,1986-11-01,9922
00071,temp_mean_low,-21.5,1987-01-12,1986-11-01,9922
00071,temp_min,-24.5,1987-01-12,1986-11-01,9922
00072,precipitation,66.9,1995-05-13,1978-10-01,6087
00072,temp_max,34.4,1983-07-31,1978-10-01,6087
00072,temp_mean_high,26.6,1984-07-11,1978-10-01,6087
00072,temp_mean_low,-22.7,1987-01-12,1978-10-01,6087
00072,temp_min,-26.1,1985-01-09,1978-10-01,6087
00072,wind_max,31.1,1984-11-24,1978-09-01,5942
00073,precipitation,117.5,1991-07-31,1959-03-01,23932
00073,temp_max,37.9,2003-08-13,1959-03-01,23941
00073,temp_mean_high,27.4,2003-08-04,1959-03-01,23941
00073,temp_mean_low,-27,1985-01-07,1959-03-01,23941
00073,temp_min,-33.5,1963-01-17,1959-03-01,23941
00078,precipitation,88.5,1981-06-29,1961-01-01,23291
00078,temp_max,39.2,2019-07-25,1961-01-01,23291
00078,temp_mean_high,29.9,2019-07-25,1961-01-01,23291
00078,temp_mean_low,-17.1,1971-01-06,1961-01-01,23291
00078,temp_min,-25.2,1985-01-08,1961-01-01,23291
00090,wind_max,35.1,2019-03-10,1988-02-19,11937
00091,precipitation,73,2002-07-17,1978-11-01,16846
00091,temp_max,37.6,2022-07-20,1978-11-01,16848
00091,temp_mean_high,27.5,2015-07-04,1978-11-01,16848
00091,temp_mean_low,-16.2,1987-01-13,1978-11-01,16848
00091,temp_min,-21.5,1982-01-13,1978-11-01,16848
00093,precipitation,20.1,1978-05-22,1977-12-01,335
00093,temp_max,30.5,1978-07-30,1977-12-01,335
