id,network,name,state,lat,lon,elevation
00006,rr,Aalen-Unterrombach,Baden-Württemberg,48.8361,10.0598,455
00011,kl,Donaueschingen (Landeplatz),Baden-Württemberg,47.9736,8.5205,680
00015,rr,Abenberg,Bayern,49.2346,10.9667,392
00019,rr,Abtsgmünd-Neubronn,Baden-Württemberg,48.8795,9.971,471
00020,rr,Abtsgmünd-Untergröningen,Baden-Württemberg,48.9219,9.9129,432
00021,rr,Achberg-Doberatsweiler,Baden-Württemberg,47.6104,9.6981,498
00022,rr,Achern-Fautenbach,Baden-Württemberg,48.6318,8.0466,138
00023,rr,Achim-Embsen,Niedersachsen,53.0311,9.0232,8
00029,rr,Adelsdorf (Kläranlage),Bayern,49.7175,10.9101,260
00041,rr,Ahlden-Grethem,Niedersachsen,52.7356,9.5665,26
00044,kl,Großenkneten,Niedersachsen,52.9336,8.237,44
00046,rr,Aholfing,Bayern,48.945,12.4639,325
00053,rr,Ahrensfelde,Brandenburg,52.585,13.5634,60
00055,rr,"Aibling, Bad-Ellmosen",Bayern,47.8778,12.024,508
00057,rr,Hollenbach/Bayern-Schönbach,Bayern,48.4799,11.0521,461
00063,rr,Aitrang,Bayern,47.8173,10.5376,744
00064,rr,Aken/Elbe,Sachsen-Anhalt,51.8488,12.0491,55
00073,kl,Aldersbach-Kramersepp,Bayern,48.6183,13.062,374
00078,kl,Alfhausen,Niedersachsen,52.4853,7.9125,64
00079,rr,Alfter-Volmershoven,Nordrhein-Westfalen,50.6718,7.0155,160
00087,rr,Alperstedt,Thüringen,51.095,11.0479,158
00090,kl,Alsfeld,Hessen,50.7557,9.2583,305
00091,kl,Alsfeld-Eifa,Hessen,50.7446,9.345,304
00096,kl,Neuruppin-Alt Ruppin,Brandenburg,52.9437,12.8518,50
00102,kl,Leuchtturm Alte Weser,Niedersachsen,53.8633,8.1275,0
00103,rr,Hagelstadt,Bayern,48.896,12.217,364
00105,rr,Ahrbrück,Rheinland-Pfalz,50.4844,6.9711,195
00110,rr,Altenberge,Nordrhein-Westfalen,52.0487,7.4877,65
00118,rr,Altendorf,Bayern,49.4053,12.2852,388
00121,rr,Neitersen,Rheinland-Pfalz,50.6654,7.5765,218
