date,stations,meanHiStation,meanHi,meanLoStation,meanLo,absHiStation,absHi,absLoStation,absLo,lowHiStation,lowHi,lowLoStation,lowLo,lowAbsHiStation,lowAbsHi,lowAbsLoStation,lowAbsLo,wetStation,wet,gustStation,gust,lapse,lapseR2,gradN,gradE,gradH,gradR2
1815-01-01,1,02290,-1.9,02290,-1.9,,,,,02290,-1.9,02290,-1.9,,,,,,,,,,,,,,
1815-01-02,1,02290,-4,02290,-4,,,,,02290,-4,02290,-4,,,,,,,,,,,,,,
1815-01-03,1,02290,-7.8,02290,-7.8,,,,,02290,-7.8,02290,-7.8,,,,,,,,,,,,,,
1815-01-04,1,02290,-8.4,02290,-8.4,,,,,02290,-8.4,02290,-8.4,,,,,,,,,,,,,,
1815-01-05,1,02290,-7,02290,-7,,,,,02290,-7,02290,-7,,,,,,,,,,,,,,
1815-01-06,1,02290,-7.4,02290,-7.4,,,,,02290,-7.4,02290,-7.4,,,,,,,,,,,,,,
1815-01-07,1,02290,-7.7,02290,-7.7,,,,,02290,-7.7,02290,-7.7,,,,,,,,,,,,,,
1815-01-08,1,02290,-8.4,02290,-8.4,,,,,02290,-8.4,02290,-8.4,,,,,,,,,,,,,,
1815-01-09,1,02290,-8,02290,-8,,,,,02290,-8,02290,-8,,,,,,,,,,,,,,
1815-01-10,1,02290,-5.6,02290,-5.6,,,,,02290,-5.6,02290,-5.6,,,,,,,,,,,,,,
1815-01-11,1,02290,-1.7,02290,-1.7,,,,,02290,-1.7,02290,-1.7,,,,,,,,,,,,,,
1815-01-12,1,02290,-6.2,02290,-6.2,,,,,02290,-6.2,02290,-6.2,,,,,,,,,,,,,,
1815-01-13,1,02290,-7.2,02290,-7.2,,,,,02290,-7.2,02290,-7.2,,,,,,,,,,,,,,
1815-01-14,1,02290,-8.1,02290,-8.1,,,,,02290,-8.1,02290,-8.1,,,,,,,,,,,,,,
1815-01-15,1,02290,-10.6,02290,-10.6,,,,,02290,-10.6,02290,-10.6,,,,,,,,,,,,,,
1815-01-16,1,02290,-12.9,02290,-12.9,,,,,02290,-12.9,02290,-12.9,,,,,,,,,,,,,,
1815-01-17,1,02290,-12,02290,-12,,,,,02290,-12,02290,-12,,,,,,,,,,,,,,
1815-01-18,1,02290,-11,02290,-11,,,,,02290,-11,02290,-11,,,,,,,,,,,,,,
1815-01-19,1,02290,-14.6,02290,-14.6,,,,,02290,-14.6,02290,-14.6,,,,,,,,,,,,,,
1815-01-20,1,02290,-15.1,02290,-15.1,,,,,02290,-15.1,02290,-15.1,,,,,,,,,,,,,,
1815-01-21,1,02290,-15.1,02290,-15.1,,,,,02290,-15.1,02290,-15.1,,,,,,,,,,,,,,
1815-01-22,1,02290,-14,02290,-14,,,,,02290,-14,02290,-14,,,,,,,,,,,,,,
1815-01-23,1,02290,-14,02290,-14,,,,,02290,-14,02290,-14,,,,,,,,,,,,,,
1815-01-24,1,02290,-15.5,02290,-15.5,,,,,02290,-15.5,02290,-15.5,,,,,,,,,,,,,,
1815-01-25,1,02290,-11,02290,-11,,,,,02290,-11,02290,-11,,,,,,,,,,,,,,
1815-01-26,1,02290,-6.3,02290,-6.3,,,,,02290,-6.3,02290,-6.3,,,,,,,,,,,,,,
1815-01-27,1,02290,0.5,02290,0.5,,,,,02290,0.5,02290,0.5,,,,,,,,,,,,,,
1815-01-28,1,02290,-0.4,02290,-0.4,,,,,02290,-0.4,02290,-0.4,,,,,,,,,,,,,,
1815-01-29,1,02290,-1.4,02290,-1.4,,,,,02290,-1.4,02290,-1.4,,,,,,,,,,,,,,
1815-01-30,1,02290,-0.6,02290,-0.6,,,,,02290,-0.6,02290,-0.6,,,,,,,,,,,,,,
1815-01-31,1,02290,1.3,02290,1.3,,,,,02290,1.3,02290,1.3,,,,,,,,,,,,,,
1815-02-01,1,02290,-1.4,02290,-1.4,,,,,02290,-1.4,02290,-1.4,,,,,,,,,,,,,,
1815-02-02,1,02290,-1.4,02290,-1.4,,,,,02290,-1.4,02290,-1.4,,,,,,,,,,,,,,
1815-02-03,1,02290,-0.1,02290,-0.1,,,,,02290,-0.1,02290,-0.1,,,,,,,,,,,,,,
1815-02-04,1,02290,1.6,02290,1.6,,,,,02290,1.6,02290,1.6,,,,,,,,,,,,,,
1815-02-05,1,02290,-0.1,02290,-0.1,,,,,02290,-0.1,02290,-0.1,,,,,,,,,,,,,,
1815-02-06,1,02290,-1.2,02290,-1.2,,,,,02290,-1.2,02290,-1.2,,,,,,,,,,,,,,
1815-02-07,1,02290,-0.7,02290,-0.7,,,,,02290,-0.7,02290,-0.7,,,,,,,,,,,,,,
1815-02-08,1,02290,-0.8,02290,-0.8,,,,,02290,-0.8,02290,-0.8,,,,,,,,,,,,,,
1815-02-09,1,02290,0.3,02290,0.3,,,,,02290,0.3,02290,0.3,,,,,,,,,,,,,,
1815-02-10,1,02290,0.7,02290,0.7,,,,,02290,0.7,02290,0.7,,,,,,,,,,,,,,
1815-02-11,1,02290,-0.2,02290,-0.2,,,,,02290,-0.2,02290,-0.2,,,,,,,,,,,,,,
1815-02-12,1,02290,1.9,02290,1.9,,,,,02290,1.9,02290,1.9,,,,,,,,,,,,,,
1815-02-13,1,02290,2.5,02290,2.5,,,,,02290,2.5,02290,2.5,,,,,,,,,,,,,,
1815-02-14,1,02290,2.8,02290,2.8,,,,,02290,2.8,02290,2.8,,,,,,,,,,,,,,
1815-02-15,1,02290,3.4,02290,3.4,,,,,02290,3.4,02290,3.4,,,,,,,,,,,,,,
1815-02-16,1,02290,2.5,02290,2.5,,,,,02290,2.5,02290,2.5,,,,,,,,,,,,,,
1815-02-17,1,02290,1.5,02290,1.5,,,,,02290,1.5,02290,1.5,,,,,,,,,,,,,,
1815-02-18,1,02290,-0.6,02290,-0.6,,,,,02290,-0.6,02290,-0.6,,,,,,,,,,,,,,
1815-02-19,1,02290,-1.4,02290,-1.4,,,,,02290,-1.4,02290,-1.4,,,,,,,,,,,,,,
1815-02-20,1,02290,4.7,02290,4.7,,,,,02290,4.7,02290,4.7,,,,,,,,,,,,,,
1815-02-21,1,02290,0.5,02290,0.5,,,,,02290,0.5,02290,0.5,,,,,,,,,,,,,,
1815-02-22,1,02290,1.5,02290,1.5,,,,,02290,1.5,02290,1.5,,,,,,,,,,,,,,
