id,name,state,lat,lon,elevation,from,until
00001,Aach,Baden-Württemberg,47.8413,8.8493,478,19370101,19860630
00003,Aachen,Nordrhein-Westfalen,50.7827,6.0941,202,18910101,20110331
00011,Donaueschingen (Landeplatz),Baden-Württemberg,47.9736,8.5205,680,19800901,20260801
00044,Großenkneten,Niedersachsen,52.9336,8.237,44,19690101,20260801
00052,Ahrensburg-Wulfsdorf,Schleswig-Holstein,53.6623,10.199,46,19690101,20011231
00061,Aiterhofen,Bayern,48.8443,12.6171,339,19750701,19780831
00070,Albstadt-Ebingen,Baden-Württemberg,48.2052,9.0371,712,19730601,19860930
00071,Albstadt-Badkap,Baden-Württemberg,48.2156,8.9784,759,19861101,20191231
00072,Albstadt-Onstmettingen,Baden-Württemberg,48.2766,9.0001,794,19780901,19950531
00073,Aldersbach-Kramersepp,Bayern,48.6183,13.062,374,19590301,20260801
00078,Alfhausen,Niedersachsen,52.4853,7.9125,64,19610101,20260801
00090,Alsfeld,Hessen,50.7557,9.2583,305,19880219,20260801
00091,Alsfeld-Eifa,Hessen,50.7446,9.345,304,19781101,20260801
00093,Alsfeld-Reibertenrod,Hessen,50.7691,9.2542,269,19771201,19781031
00096,Neuruppin-Alt Ruppin,Brandenburg,52.9437,12.8518,50,20190409,20260801
00098,Altastenberg,Nordrhein-Westfalen,51.1887,8.468,784,18870215,19541231
00102,Leuchtturm Alte Weser,Niedersachsen,53.8633,8.1275,0,19980101,20260801
00116,Altenburg,Thüringen,50.9833,12.4333,213,18990601,19730531
00125,Altenstadt,Bayern,47.8342,10.8667,739,19740301,20260801
00126,Uffenheim (Schulstr.),Bayern,49.5447,10.2213,330,19791101,20101130
00129,Altentreptow,Mecklenburg-Vorpommern,53.6893,13.2422,30,19910101,20061231
00131,Geringswalde-Altgeringswalde,Sachsen,51.0881,12.9326,296,20041101,20260801
00132,Altglashütte,Bayern,49.7725,12.3891,750,19531211,19870930
00142,Altomünster-Maisbrunn,Bayern,48.406,11.3117,511,19550101,20260801
00150,Alzey,Rheinland-Pfalz,49.7273,8.1164,215,19510101,20260801
00151,Amberg-Unterammersricht,Bayern,49.4691,11.8546,382,19470101,20260801
00154,Amerang-Pfaffing,Bayern,48.0197,12.2925,516,19940101,20260801
00161,Andernach,Rheinland-Pfalz,50.4237,7.4202,75,19801201,20260801
00164,Angermünde,Brandenburg,53.0316,13.9908,54,19080517,20260801
00167,Anklam,Mecklenburg-Vorpommern,53.8409,13.6854,11,20040901,20260801
00169,Annaberg-Buchholz,Sachsen,50.573,13.0053,630,19470101,19661231
00172,Annaturm,Niedersachsen,52.2486,9.5056,395,19690501,19911130
00174,Annweiler-Bindersbach,Rheinland-Pfalz,49.1886,7.9766,250,19840301,19871231
00175,Ansbach,Bayern,49.2964,10.5751,413,19520101,19760430
00177,Ansbach-Hennenbach,Bayern,49.3158,10.5815,418,19470501,19571031
00181,Arendsee,Sachsen-Anhalt,52.8761,11.5042,30,19991101,20081102
00183,Arkona,Mecklenburg-Vorpommern,54.6791,13.4344,42,19470101,20260801
00184,Arneburg,Sachsen-Anhalt,52.6769,12.0077,55,19470101,19660630
00185,Arnis,Schleswig-Holstein,54.6289,9.9294,3,19460101,19571231
00186,Arnsberg,Nordrhein-Westfalen,51.3773,8.0713,218,18800101,19980930
00191,Arnstein-Müdesheim,Bayern,49.9694,9.9114,217,19860401,20260801
00193,Arolsen-Neu Berich,Hessen,51.3845,9.082,232,19680101,19971031
00197,Arolsen-Volkhardinghausen  Bad,Hessen,51.3219,9.0558,365,19900801,20260727
00198,Artern,Thüringen,51.3744,11.292,164,19540101,20260801
00202,Aschaffenburg,Bayern,49.9771,9.1091,111,19470101,19511231
00207,Aschersleben,Sachsen-Anhalt,51.7498,11.4667,105,19470101,19641231
00211,Aßlar Klein-Altenstädten,Hessen,50.58,8.4685,200,19810901,19991231
00217,Attenkam,Bayern,47.8774,11.3643,670,19410101,20260801
00221,Au i.d.Hallertau-Günzenhausen,Bayern,48.5515,11.7117,483,19850801,19900531
00222,Aue,Sachsen,50.5908,12.7139,393,19770101,20260801
00231,Augsburg (Sankt Stephan),Bayern,48.3746,10.8996,490,18790101,19740430
00232,Augsburg,Bayern,48.4253,10.9417,462,19470101,20260801
00243,Aurich,Niedersachsen,53.4621,7.467,4,19580901,20061231
00257,Baden-Baden-Geroldsau,Baden-Württemberg,48.727,8.2457,240,19490101,20260801
00259,Müllheim,Baden-Württemberg,47.8064,7.6387,275,19470101,20260801
00273,Baindt,Baden-Württemberg,47.8413,9.6606,467,19861201,19900430
00282,Bamberg,Bayern,49.8743,10.9206,240,19490101,20260801
00283,Bamberg-Altenburg,Bayern,49.8808,10.8695,382,19480101,19591231
