probe,hour,value
031520061,0,0.127
031520061,1,0.124
031520061,2,0.122
031520061,3,0.129
031520061,4,0.127
031520061,5,0.126
031520061,6,0.123
031520061,7,0.129
031520061,8,0.125
031520061,9,0.124
031520061,10,0.125
031520061,11,0.127
031520061,12,0.125
031520061,13,0.124
031520061,14,0.124
031520061,15,0.125
031520061,16,0.127
031520061,17,0.123
031520061,18,0.123
031520061,19,0.125
031520061,20,0.126
031520061,21,0.122
031520061,22,0.125
031520061,23,0.126
031520091,0,0.143
031520091,1,0.144
031520091,2,0.14
031520091,3,0.143
031520091,4,0.142
031520091,5,0.143
031520091,6,0.144
031520091,7,0.139
031520091,8,0.14
031520091,9,0.14
031520091,10,0.14
031520091,11,0.141
031520091,12,0.14
031520091,13,0.139
031520091,14,0.14
031520091,15,0.139
031520091,16,0.14
031520091,17,0.14
031520091,18,0.142
031520091,19,0.142
031520091,20,0.142
031520091,21,0.142
031520091,22,0.147
031520091,23,0.146
031520101,0,0.14
031520101,1,0.141
031520101,2,0.14
031520101,3,0.141
031520101,4,0.141
031520101,5,0.137
031520101,6,0.135
031520101,7,0.136
031520101,8,0.138
031520101,9,0.132
031520101,10,0.133
031520101,11,0.134
031520101,12,0.135
031520101,13,0.133
031520101,14,0.137
031520101,15,0.132
031520101,16,0.134
031520101,17,0.131
031520101,18,0.138
031520101,19,0.136
031520101,20,0.14
031520101,21,0.141
031520101,22,0.139
031520101,23,0.144
031520111,0,0.115
031520111,1,0.118
031520111,2,0.121
031520111,3,0.119
031520111,4,0.118
031520111,5,0.12
031520111,6,0.116
031520111,7,0.115
031520111,8,0.118
031520111,9,0.116
031520111,10,0.114
031520111,11,0.116
031520111,12,0.117
031520111,13,0.114
031520111,14,0.118
031520111,15,0.119
031520111,16,0.118
031520111,17,0.114
031520111,18,0.116
031520111,19,0.119
031520111,20,0.118
031520111,21,0.121
031520111,22,0.12
031520111,23,0.121
031520121,0,0.116
031520121,1,0.116
031520121,2,0.119
031520121,3,0.115
031520121,4,0.12
031520121,5,0.113
031520121,6,0.113
031520121,7,0.108
031520121,8,0.112
031520121,9,0.11
031520121,10,0.109
031520121,11,0.112
031520121,12,0.109
031520121,13,0.111
031520121,14,0.111
031520121,15,0.113
031520121,16,0.113
031520121,17,0.111
031520121,18,0.112
031520121,19,0.111
031520121,20,0.115
031520121,21,0.118
031520121,22,0.117
031520121,23,0.117
031520122,0,0.137
031520122,1,0.133
031520122,2,0.135
031520122,3,0.134
031520122,4,0.136
031520122,5,0.134
031520122,6,0.132
031520122,7,0.135
031520122,8,0.131
031520122,9,0.132
031520122,10,0.133
031520122,11,0.133
031520122,12,0.129
031520122,13,0.131
031520122,14,0.133
031520122,15,0.131
031520122,16,0.131
031520122,17,0.13
031520122,18,0.13
031520122,19,0.135
031520122,20,0.132
031520122,21,0.134
031520122,22,0.137
031520122,23,0.135
031520271,0,0.155
031520271,1,0.154
031520271,2,0.154
031520271,3,0.152
031520271,4,0.156
031520271,5,0.152
031520271,6,0.154
031520271,7,0.151
031520271,8,0.15
031520271,9,0.149
031520271,10,0.153
031520271,11,0.153
031520271,12,0.148
031520271,13,0.154
031520271,14,0.151
031520271,15,0.154
031520271,16,0.154
031520271,17,0.153
031520271,18,0.154
031520271,19,0.154
031520271,20,0.155
031520271,21,0.155
031520271,22,0.154
031520271,23,0.154
031550071,0,0.12
031550071,1,0.12
031550071,2,0.125
031550071,3,0.125
031550071,4,0.126
031550071,5,0.126
031550071,6,0.123
031550071,7,0.122
031550071,8,0.122
031550071,9,0.122
031550071,10,0.118
031550071,11,0.118
031550071,12,0.119
031550071,13,0.115
031550071,14,0.12
031550071,15,0.117
031550071,16,0.12
031550071,17,0.12
031550071,18,0.12
031550071,19,0.12
031550071,20,0.118
031550071,21,0.121
031550071,22,0.122
031550071,23,0.121
031550121,0,0.124
031550121,1,0.123
031550121,2,0.125
031550121,3,0.12
031550121,4,0.125
031550121,5,0.122
031550121,6,0.123
031550121,7,0.118
031550121,8,0.116
031550121,9,0.117
031550121,10,0.114
031550121,11,0.113
031550121,12,0.115
031550121,13,0.118
031550121,14,0.118
031550121,15,0.118
031550121,16,0.119
031550121,17,0.12
031550121,18,0.119
031550121,19,0.117
031550121,20,0.117
031550121,21,0.122
031550121,22,0.122
031550121,23,0.125
066330221,0,0.11
066330221,1,0.116
066330221,2,0.111
066330221,3,0.11
066330221,4,0.112
066330221,5,0.111
066330221,6,0.108
066330221,7,0.11
066330221,8,0.111
066330221,9,0.11
066330221,10,0.107
066330221,11,0.108
066330221,12,0.109
066330221,13,0.111
066330221,14,0.11
066330221,15,0.111
066330221,16,0.11
066330221,17,0.11
066330221,18,0.11
066330221,19,0.114
066330221,20,0.11
066330221,21,0.11
066330221,22,0.114
066330221,23,0.112
066360161,0,0.126
066360161,1,0.128
066360161,2,0.127
066360161,3,0.136
066360161,4,0.131
066360161,5,0.132
066360161,6,0.13
066360161,7,0.13
066360161,8,0.126
066360161,9,0.124
066360161,10,0.123
066360161,11,0.125
066360161,12,0.127
066360161,13,0.126
066360161,14,0.127
066360161,15,0.127
066360161,16,0.124
066360161,17,0.127
066360161,18,0.13
066360161,19,0.129
066360161,20,0.13
066360161,21,0.131
066360161,22,0.132
066360161,23,0.134
