id,name,lat,lon,elevation,distance,landscape
07976,Göttingen-Schlözerweg,51.5333,9.95,190,3.7,Weser-Leinebergland
07977,Göttingen (Ost),51.5167,9.95,200,1.8,Weser-Leinebergland
07989,Bilshausen,51.6333,10.1667,150,21,Weser-Leinebergland
07990,Desingerode,51.5333,10.1833,200,16.5,Weser-Leinebergland
07991,Gieboldehausen (Ph),51.6167,10.2167,160,22.5,Weser-Leinebergland
07993,Mingerode,51.5333,10.25,180,21,Weser-Leinebergland
07994,Nesselröden,51.5,10.1833,210,16.1,Weser-Leinebergland
07995,Obernfeld,51.5667,10.2333,170,20.9,Weser-Leinebergland
07997,Wollbrandshausen,51.5833,10.1667,170,17.6,Weser-Leinebergland
08003,Gelliehausen,51.4667,10.05,250,7.8,Weser-Leinebergland
08004,Groß Schneen,51.4333,9.9333,190,7.5,Weser-Leinebergland
08005,Reyershausen,51.6167,10,220,13.4,Weser-Leinebergland
08006,Volkerode,51.4667,9.85,225,7.9,Weser-Leinebergland
08007,Waake,51.55,10.0667,260,9.8,Weser-Leinebergland
08035,Hann. Münden-Bursfelde,51.5333,9.6167,120,23.4,Weser-Leinebergland
08036,Hedemünden,51.3833,9.7667,130,18.2,Osthessisches Bergland
08037,Jühnde,51.4667,9.8,310,11.1,Weser-Leinebergland
08039,Löwenhagen,51.5167,9.7,240,17.5,Weser-Leinebergland
08040,Münden,51.4167,9.6667,220,21.7,Osthessisches Bergland
08041,Scheden,51.4667,9.7333,230,15.5,Weser-Leinebergland
08042,Varmissen,51.5,9.8,350,10.4,Weser-Leinebergland
08043,Adelebsen,51.5833,9.75,190,16.7,Weser-Leinebergland
08044,Asche,51.6167,9.8167,280,15.9,Weser-Leinebergland
08045,Ertinghausen,51.6667,9.7833,270,21.8,Weser-Leinebergland
08047,Nörten-Hardenberg (Ph),51.6333,9.9333,140,14.8,Weser-Leinebergland
08048,Northeim (Ph),51.7167,10,130,24.3,Weser-Leinebergland
08050,Sudershausen,51.6333,10.0333,200,15.9,Weser-Leinebergland
09629,Veckerhagen,51.5,9.6,120,24.3,Weser-Leinebergland
09742,Ermschwerd,51.35,9.8167,150,19.1,Osthessisches Bergland
09746,Hundelshausen,51.3,9.85,210,23.3,Osthessisches Bergland
09749,Oberrieden,51.3167,9.9167,230,20.5,Osthessisches Bergland
09756,Witzenhausen (Ph),51.35,9.8667,160,17.7,Osthessisches Bergland
13427,Arenshausen,51.3833,9.9667,220,13,Weser-Leinebergland
13429,Bodenrode,51.4,10.2167,270,21.5,Weser-Leinebergland
13430,Dieterode (Ph),51.3,10.1,380,24.5,Thüringer Becken und Randplatten Nrg 48
13434,Günterode,51.4167,10.1667,340,17.6,Weser-Leinebergland
13435,"Heiligenstadt, Heilbad (Beob.-Stelle 2)",51.4,10.15,320,17.7,Weser-Leinebergland
13436,"Heiligenstadt, Heilbad (Beob.-Stelle 1)",51.3833,10.15,280,19,Weser-Leinebergland
13437,"Heiligenstadt, Heilbad-Siemerode",51.4333,10.1167,300,13.7,Weser-Leinebergland
13439,Lenterode,51.35,10.0667,300,18.5,Thüringer Becken und Randplatten Nrg 48
13440,Lutter b. Hb. Heiligenstadt-Fürstenhagen,51.3167,10.1,490,22.9,Thüringer Becken und Randplatten Nrg 48
13441,Rengelrode,51.3833,10.1,250,16.6,Weser-Leinebergland
13443,Schachtebich,51.4,10.05,280,13.1,Weser-Leinebergland
13444,Uder (Ph),51.3667,10.0667,230,16.9,Weser-Leinebergland
15465,Bornhagen (Ph),51.3426,9.9427,320,17.5,Weser-Leinebergland
19518,Göttingen-Geismar,51.5002,9.9507,160,0,Weser-Leinebergland
