region,parameter,period,year,value
Baden-Wuerttemberg,frost_days,year,1951,99.53
Baden-Wuerttemberg,frost_days,year,1952,117.32
Baden-Wuerttemberg,frost_days,year,1953,117.09
Baden-Wuerttemberg,frost_days,year,1954,105.27
Baden-Wuerttemberg,frost_days,year,1955,128.3
Baden-Wuerttemberg,frost_days,year,1956,120.49
Baden-Wuerttemberg,frost_days,year,1957,99.48
Baden-Wuerttemberg,frost_days,year,1958,104.53
Baden-Wuerttemberg,frost_days,year,1959,105.74
Baden-Wuerttemberg,frost_days,year,1960,88.64
Baden-Wuerttemberg,frost_days,year,1961,87.29
Baden-Wuerttemberg,frost_days,year,1962,122.64
Baden-Wuerttemberg,frost_days,year,1963,117.73
Baden-Wuerttemberg,frost_days,year,1964,105.08
Baden-Wuerttemberg,frost_days,year,1965,105.36
Baden-Wuerttemberg,frost_days,year,1966,89.02
Baden-Wuerttemberg,frost_days,year,1967,98.28
Baden-Wuerttemberg,frost_days,year,1968,111.92
Baden-Wuerttemberg,frost_days,year,1969,114.65
Baden-Wuerttemberg,frost_days,year,1970,111.49
Baden-Wuerttemberg,frost_days,year,1971,110.35
Baden-Wuerttemberg,frost_days,year,1972,107.6
Baden-Wuerttemberg,frost_days,year,1973,125.84
Baden-Wuerttemberg,frost_days,year,1974,69.83
Baden-Wuerttemberg,frost_days,year,1975,94.04
Baden-Wuerttemberg,frost_days,year,1976,101.23
Baden-Wuerttemberg,frost_days,year,1977,79.23
Baden-Wuerttemberg,frost_days,year,1978,100.05
Baden-Wuerttemberg,frost_days,year,1979,98.89
Baden-Wuerttemberg,frost_days,year,1980,106.2
Baden-Wuerttemberg,frost_days,year,1981,108.09
Baden-Wuerttemberg,frost_days,year,1982,96.91
Baden-Wuerttemberg,frost_days,year,1983,97.54
Baden-Wuerttemberg,frost_days,year,1984,110.38
Baden-Wuerttemberg,frost_days,year,1985,118.43
Baden-Wuerttemberg,frost_days,year,1986,102.97
Baden-Wuerttemberg,frost_days,year,1987,104.51
Baden-Wuerttemberg,frost_days,year,1988,81.23
Baden-Wuerttemberg,frost_days,year,1989,86.51
Baden-Wuerttemberg,frost_days,year,1990,81.85
Baden-Wuerttemberg,frost_days,year,1991,104.61
Baden-Wuerttemberg,frost_days,year,1992,86.68
Baden-Wuerttemberg,frost_days,year,1993,91.14
Baden-Wuerttemberg,frost_days,year,1994,60.57
Baden-Wuerttemberg,frost_days,year,1995,92.86
Baden-Wuerttemberg,frost_days,year,1996,117.33
Baden-Wuerttemberg,frost_days,year,1997,95.41
Baden-Wuerttemberg,frost_days,year,1998,91.05
Baden-Wuerttemberg,frost_days,year,1999,85.58
Baden-Wuerttemberg,frost_days,year,2000,63.81
Baden-Wuerttemberg,frost_days,year,2001,88.62
Baden-Wuerttemberg,frost_days,year,2002,66.08
Baden-Wuerttemberg,frost_days,year,2003,109.72
Baden-Wuerttemberg,frost_days,year,2004,100.7
Baden-Wuerttemberg,frost_days,year,2005,105.8
Baden-Wuerttemberg,frost_days,year,2006,103.16
Baden-Wuerttemberg,frost_days,year,2007,77.13
Baden-Wuerttemberg,frost_days,year,2008,100.81
Baden-Wuerttemberg,frost_days,year,2009,95.44
Baden-Wuerttemberg,frost_days,year,2010,116.15
